SMILES,pchembl_value
O=C(Nc1cncc(-c2ccc3[nH]nc(-c4cc5cnccc5[nH]4)c3c2)c1)C1CCC1,8.7
O=C(Nc1cncc(-c2ccc3[nH]nc(-c4cc5cnccc5[nH]4)c3c2)c1)C1CCCCC1,8.7
O=C(Nc1cncc(-c2cnc3[nH]nc(-c4cc5cnccc5[nH]4)c3c2)c1)c1ccccc1,8.7
CN(C)Cc1ccc(C(=O)Nc2cc3cc(-c4cnn(C)c4)ccc3cn2)cc1,8.7
CN(C)CCNc1cc(C(=O)Nc2cc3cc(-c4cnn(C)c4)ccc3cn2)ccn1,8.7
CN1CCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)c(F)cc4cn3)ccn2)CC1,8.7
Cn1cc(-c2ccc3cnc(NC(=O)c4ccnc(N5CC6CC5CN6)c4)cc3c2)cn1,8.7
CN1CCCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1,8.7
CN1CCN(c2cc(CC(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1,8.7
CN1CCN(c2ccc(C(=O)N3CCN(c4cc(C(=O)Nc5cc6cc(-c7cnn(C)c7)ccc6cn5)ccn4)CC3)cn2)CC1,8.7
CN1CCC(Nc2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1,8.7
Cn1cc(-c2ccc3cnc(NC(=O)c4ccc5c(c4)CNCC5)cc3c2)cn1,8.7
Cn1cc(-c2ccc3cnc(NC(=O)c4ccc5c(cnn5C)c4)cc3c2)cn1,8.7
CN1CCC(n2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)cn2)CC1,8.7
CN(C)C1CN(c2ncc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)s2)C1,8.7
CN1CCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5N)ccc4cn3)ccn2)CC1,8.7
CN1CCC2(CC1)CN(c1cc(C(=O)Nc3cc4cc(-c5cnn(C)c5CO)ccc4cn3)ccn1)C2,8.7
